ticker,epic,instrument_name,instrument_type,currency,market_status,search_term
WRLD,UD.D.WRLD.CASH.IP,World Acceptance Corp,SHARES,N/A,TRADEABLE,WO
APTLN,KA.D.APTLN.CASH.IP,Worsley Investors Limited,SHARES,N/A,EDITS_ONLY,WO
CWFGLN,KA.D.CWFGLN.CASH.IP,Amundi MSCI World Financials ETF-C USD,SHARES,N/A,CLOSED,WO
PACWLN,KA.D.PACWLN.CASH.IP,Amundi Prime All Country World UCITS ETF (GBP),SHARES,N/A,EDITS_ONLY,WO
WPP,KA.D.WPP.CASH.IP,WPP PLC,SHARES,N/A,EDITS_ONLY,WP
WRTCUS,UD.D.WRTCUS.CASH.IP,Wrap Technologies Inc,SHARES,N/A,TRADEABLE,WR
AADRUS,SI.D.AADRUS.CASH.IP,AdvisorShares Dorsey Wright ADR ETF,SHARES,N/A,TRADEABLE,WR
GXTGUS,UB.D.GXTGUS.CASH.IP,Global X Dorsey Wright Thematic ETF,SHARES,N/A,TRADEABLE,WR
PXIUS,UC.D.PXIUS.CASH.IP,Invesco Dorsey Wright Energy Momentum ETF,SHARES,N/A,TRADEABLE,WR
DWPPUS,UB.D.DWPPUS.CASH.IP,First Trust Dorsey Wright People's Portfolio ETF,SHARES,N/A,CLOSED,WR
PTHUS,UC.D.PTHUS.CASH.IP,Invesco Dorsey Wright Healthcare Momentum ETF,SHARES,N/A,TRADEABLE,WR
PRNUS,UC.D.PRNUS.CASH.IP,Invesco Exchange-Traded Fund Trust Invesco Dorsey Wright Industrials Momentum ET,SHARES,N/A,TRADEABLE,WR
WSFSUS,UD.D.WSFSUS.CASH.IP,WSFS Financial Corp,SHARES,N/A,TRADEABLE,WS
ECCRUD,KA.D.ECCRUD.CASH.IP,WisdomTree WTI Crude Oil,SHARES,N/A,EDITS_ONLY,WT
WTIYLN,KA.D.WTIYLN.CASH.IP,IncomeShares WTI Oil+ Yield ETP,SHARES,N/A,EDITS_ONLY,WT
YWTILN,KA.D.YWTILN.CASH.IP,IncomeShares WTI Oil+ Yield ETP - YWTI,SHARES,N/A,EDITS_ONLY,WT
SWTOLN,KA.D.SWTOLN.CASH.IP,Leverage Shares -3x Short WTI Oil ETC - GBP,SHARES,N/A,EDITS_ONLY,WT
