ticker,epic,instrument_name,currency,market_status,expiry,instrument_type,search_term
IS3AU,AB.D.IS3AU.CASH.IP,I Synergy Group Ltd,N/A,EDITS_ONLY,-,SHARES,SY
IS7GY,ED.D.IS7GY.CASH.IP,InTiCa System SA,N/A,OFFLINE,-,SHARES,SY
LSTR,UB.D.LSTR.CASH.IP,Landstar System Inc,N/A,TRADEABLE,-,SHARES,SY
MRCY,UC.D.MRCY.CASH.IP,Mercury Systems Inc,N/A,TRADEABLE,-,SHARES,SY
MITKUS,UC.D.MITKUS.CASH.IP,Mitek Systems Inc,N/A,TRADEABLE,-,SHARES,SY
TACT,KN.D.TACT.CASH.IP,TransAlta Corp,N/A,TRADEABLE,-,SHARES,TA
TAIH,KC.D.TAIH.CASH.IP,Taihua PLC,N/A,OFFLINE,-,SHARES,TA
TTKGY,ED.D.TTKGY.CASH.IP,Takkt AG,N/A,TRADEABLE,-,SHARES,TA
TLXGY,ED.D.TLXGY.CASH.IP,Talanx AG,N/A,TRADEABLE,-,SHARES,TA
TLNDUS,UD.D.TLNDUS.CASH.IP,Talend SA,N/A,CLOSED,-,SHARES,TA
TLGOSM,EI.D.TLGOSM.CASH.IP,Talgo SA,N/A,TRADEABLE,-,SHARES,TA
SKT,SG.D.SKT.CASH.IP,Tanger Inc,N/A,TRADEABLE,-,SHARES,TA
TKTTFP,EC.D.TKTTFP.CASH.IP,Tarkett SA,N/A,OFFLINE,-,SHARES,TA
TASKUS,UD.D.TASKUS.CASH.IP,TaskUs Inc,N/A,TRADEABLE,-,SHARES,TA
TEAAU,AB.D.TEAAU.CASH.IP,Tasmea Ltd,N/A,EDITS_ONLY,-,SHARES,TA
TALLINKFH,EB.D.TALLINKFH.CASH.IP,AS Tallink Grupp,N/A,TRADEABLE,-,SHARES,TA
TAALAFH,EB.D.TAALAFH.CASH.IP,Taaleri Oyj,N/A,TRADEABLE,-,SHARES,TA
1801JT,AJ.D.1801JT.CASH.IP,Taisei Corp,N/A,EDITS_ONLY,-,SHARES,TA
4974JT,AJ.D.4974JT.CASH.IP,Takara Bio Inc,N/A,EDITS_ONLY,-,SHARES,TA
9259JT,AJ.D.9259JT.CASH.IP,Takayoshi Inc,N/A,EDITS_ONLY,-,SHARES,TA
TNOMFH,EB.D.TNOMFH.CASH.IP,Talenom Oyj,N/A,TRADEABLE,-,SHARES,TA
HECUS,UB.D.HECUS.CASH.IP,Talkspace Inc,N/A,TRADEABLE,-,SHARES,TA
ACRXUS,UA.D.ACRXUS.CASH.IP,Talphera Inc,N/A,TRADEABLE,-,SHARES,TA
TWDAU,AB.D.TWDAU.CASH.IP,Tamawood Ltd,N/A,EDITS_ONLY,-,SHARES,TA
OBLGUS,SI.D.OBLGUS.CASH.IP,TaoWeave Inc,N/A,TRADEABLE,-,SHARES,TA
CNITUS,UA.D.CNITUS.CASH.IP,Taoping Inc,N/A,TRADEABLE,-,SHARES,TA
COH,SB.D.COH.CASH.IP,Tapestry Inc (24 Hours),N/A,TRADEABLE,-,SHARES,TA
TGT,SG.D.TGT.CASH.IP,Target Corp (24 Hours),N/A,TRADEABLE,-,SHARES,TA
6266JT,AJ.D.6266JT.CASH.IP,Tazmo Co Ltd,N/A,EDITS_ONLY,-,SHARES,TA
ACWGY,ED.D.ACWGY.CASH.IP,AS Creation Tapeten AG,N/A,OFFLINE,-,SHARES,TA
CTR,KA.D.CTR.CASH.IP,Charles Taylor PLC,N/A,OFFLINE,-,SHARES,TA
TAXUS,UD.D.TAXUS.CASH.IP,Liberty Tax Inc,N/A,TRADEABLE,-,SHARES,TA
5932JT,AJ.D.5932JT.CASH.IP,Sankyo Tateyama Inc,N/A,EDITS_ONLY,-,SHARES,TA
STNGUS,SG.D.STNGUS.CASH.IP,Scorpio Tankers Inc,N/A,TRADEABLE,-,SHARES,TA
TEGGY,ED.D.TEGGY.CASH.IP,TAG Immobilien AG,N/A,TRADEABLE,-,SHARES,TA
OVG,KC.D.OVG.CASH.IP,TALISMAN METALS PLC,N/A,TRADEABLE,-,SHARES,TA
SNPXUS,UD.D.SNPXUS.CASH.IP,TAO Synergies Inc,N/A,TRADEABLE,-,SHARES,TA
IACAUS,SD.D.IACAUS.CASH.IP,Taboola.com Ltd,N/A,TRADEABLE,-,SHARES,TA
6395JT,AJ.D.6395JT.CASH.IP,Tadano Limited,N/A,EDITS_ONLY,-,SHARES,TA
1979JT,AJ.D.1979JT.CASH.IP,Taikisha Limited,N/A,EDITS_ONLY,-,SHARES,TA
TLRDUS,SG.D.TLRDUS.CASH.IP,Tailored Brands Inc,N/A,CLOSED,-,SHARES,TA
6976JT,AJ.D.6976JT.CASH.IP,Taiyo Yuden Co Ltd,N/A,EDITS_ONLY,-,SHARES,TA
6617JT,AJ.D.6617JT.CASH.IP,Takaoka Toko Co Ltd,N/A,EDITS_ONLY,-,SHARES,TA
9401JT,AJ.D.9401JT.CASH.IP,TBS Holdings Inc,N/A,EDITS_ONLY,-,SHARES,TB
TDLAU,AB.D.TDLAU.CASH.IP,TBG Diagnostics Limited,N/A,CLOSED,-,SHARES,TB
TCUS,UD.D.TCUS.CASH.IP,Token Cat Limited,N/A,TRADEABLE,-,SHARES,TC
TCSLI,PK.D.TCSLI.CASH.IP,TCS Group Holding PLC,N/A,CLOSED,-,SHARES,TC
TCBPUS,UD.D.TCBPUS.CASH.IP,TC Biopharm (Holdings) PLC,N/A,CLOSED,-,SHARES,TC
TCPCUS,UD.D.TCPCUS.CASH.IP,BlackRock TCP Capital Corp,N/A,TRADEABLE,-,SHARES,TC
TRPCT,KN.D.TRPCT.CASH.IP,TC Energy Corporation,N/A,TRADEABLE,-,SHARES,TC
TRPUS,SG.D.TRPUS.CASH.IP,TC Energy Corporation (US),N/A,TRADEABLE,-,SHARES,TC
CHFCUS,UA.D.CHFCUS.CASH.IP,TCF Financial Corporation,N/A,CLOSED,-,SHARES,TC
TCRRUS,UD.D.TCRRUS.CASH.IP,TCR2 Therapeutics Inc,N/A,CLOSED,-,SHARES,TC
1070HK,AC.D.1070HK.CASH.IP,TCL Electronics Holdings Limited,N/A,EDITS_ONLY,-,SHARES,TC
UCONUS,SI.D.UCONUS.CASH.IP,First Trust Tcw Unconstrained Plus Bond Etf,N/A,TRADEABLE,-,SHARES,TC
FIXDUS,UB.D.FIXDUS.CASH.IP,First Trust TCW Opportunistic Fixed Income ETF,N/A,TRADEABLE,-,SHARES,TC
TDUS,SG.D.TDUS.CASH.IP,The Toronto-Dominion Bank,N/A,TRADEABLE,-,SHARES,TD
TDCT,KN.D.TDCT.CASH.IP,Toronto-Dominion Bank,N/A,TRADEABLE,-,SHARES,TD
TDCXUS,SG.D.TDCXUS.CASH.IP,TDCX Inc,N/A,CLOSED,-,SHARES,TD
6762JT,AJ.D.6762JT.CASH.IP,TDK Corp,N/A,EDITS_ONLY,-,SHARES,TD
PETZUS,UC.D.PETZUS.CASH.IP,TDH Holdings Inc,N/A,TRADEABLE,-,SHARES,TD
TEFP,EC.D.TEFP.CASH.IP,Technip Energies,N/A,TRADEABLE,-,SHARES,TE
ALUSUS,SA.D.ALUSUS.CASH.IP,T1 Energy Inc,N/A,TRADEABLE,-,SHARES,TE
TTEK,UD.D.TTEK.CASH.IP,Tetra Tech Inc,N/A,TRADEABLE,-,SHARES,TE
ITECHSS,EH.D.ITECHSS.CASH.IP,I-Tech AB,N/A,TRADEABLE,-,SHARES,TE
TEAMLN,KC.D.TEAMLN.CASH.IP,TEAM PLC,N/A,TRADEABLE,-,SHARES,TE
TGNAUS,SG.D.TGNAUS.CASH.IP,TEGNA Inc,N/A,CLOSED,-,SHARES,TE
TU,SG.D.TU.CASH.IP,TELUS Corp,N/A,TRADEABLE,-,SHARES,TE
TCT,KN.D.TCT.CASH.IP,TELUS Corp (CA),N/A,TRADEABLE,-,SHARES,TE
TISIUS,SG.D.TISIUS.CASH.IP,Team Inc,N/A,TRADEABLE,-,SHARES,TE
3401JT,AJ.D.3401JT.CASH.IP,Teijin Ltd,N/A,EDITS_ONLY,-,SHARES,TE
TEL2b,EH.D.TEL2b.CASH.IP,Tele2 AB - B,N/A,TRADEABLE,-,SHARES,TE
TLSUS,UD.D.TLSUS.CASH.IP,Telos Corp,N/A,TRADEABLE,-,SHARES,TE
TEMN,EJ.D.TEMN.CASH.IP,Temenos AG,N/A,TRADEABLE,-,SHARES,TE
ASAISS,EH.D.ASAISS.CASH.IP,Teneo AI AB,N/A,TRADEABLE,-,SHARES,TE
TNCUS,SG.D.TNCUS.CASH.IP,Tennant Co,N/A,TRADEABLE,-,SHARES,TE
TEQSS,EH.D.TEQSS.CASH.IP,Teqnion AB (publ),N/A,TRADEABLE,-,SHARES,TE
2MXFP,EC.D.2MXFP.CASH.IP,Teract SA,N/A,OFFLINE,-,SHARES,TE
TEX,SG.D.TEX.CASH.IP,Terex Corp,N/A,TRADEABLE,-,SHARES,TE
TFCN,KN.D.TFCN.CASH.IP,Timbercreek Financial Corporation,N/A,TRADEABLE,-,SHARES,TF
TFFPUS,UD.D.TFFPUS.CASH.IP,TFF Pharmaceuticals Inc,N/A,CLOSED,-,SHARES,TF
TFIIUS,SG.D.TFIIUS.CASH.IP,TFI International Inc,N/A,TRADEABLE,-,SHARES,TF
TFSLUS,UD.D.TFSLUS.CASH.IP,TFS Financial Corporation,N/A,TRADEABLE,-,SHARES,TF
TFI,EC.D.TFI.CASH.IP,Television Francaise 1 SA,N/A,TRADEABLE,-,SHARES,TF
TFGLN,KC.D.TFGLN.CASH.IP,Tetragon Financial Group Limited -TFG,N/A,TRADEABLE,-,SHARES,TF
TG,SG.D.TG.CASH.IP,Tredegar Corp,N/A,TRADEABLE,-,SHARES,TG
TG6AU,AB.D.TG6AU.CASH.IP,TG Metals Limited,N/A,EDITS_ONLY,-,SHARES,TG
TGTXUS,UD.D.TGTXUS.CASH.IP,TG Therapeutics Inc,N/A,TRADEABLE,-,SHARES,TG
TGSNO,EL.D.TGSNO.CASH.IP,TGS Nopec Geophysical Co ASA,N/A,TRADEABLE,-,SHARES,TG
